,t,x,y,z,r,phi,theta
267,13334.0,-63.02010154626487,43.27890911959573,-127.5909833022634,96.0,12.0,14.0
268,13365.0,-12.94809468182053,-74.28351103032293,-125.84454707311909,98.0,12.0,16.0
269,13395.0,48.783754932195706,12.801705034003891,-84.1741840796239,155.0,12.0,18.0
270,13427.0,-37.901405408411414,46.31399825013751,-99.8792678431588,131.0,12.0,20.0
271,13458.0,-25.60323569053538,-52.23268998192633,-97.0831200560672,135.0,12.0,22.0
272,13489.0,62.41965988871428,-1.6578984860485286,-104.2118787358936,125.0,12.0,24.0
273,13519.0,-25.16838331924096,59.091848241862344,-107.19391866780605,121.0,12.0,26.0
274,13551.0,-48.71958283180364,-53.47021857025169,-120.72689608407133,104.0,12.0,28.0
275,13582.0,67.47323217720344,-21.594159498689844,-118.23577476092272,107.0,12.0,30.0
276,13613.0,-9.048778171286225,75.38407563492594,-126.71521348736623,97.0,12.0,32.0
277,13643.0,-60.44596158436429,-36.949025873968765,-118.23577476092272,107.0,12.0,34.0
278,13675.0,55.17069313794803,-37.1740185891726,-111.02846052737961,116.0,12.0,36.0
279,13706.0,12.546667747467874,75.94839737182491,-128.47187123061795,95.0,12.0,38.0
280,13736.0,-52.64763077224102,-14.31492302719763,-91.05619540355872,144.0,12.0,40.0
281,13767.0,47.60708771167001,-57.134562928201774,-124.1184655953451,100.0,12.0,42.0
282,13799.0,39.67658384404027,82.78969671764645,-153.21961434842962,69.0,12.0,44.0
283,13830.0,-84.10920808418557,1.489128235698912,-140.39585695121752,82.0,12.0,46.0
284,13860.0,33.87637978662072,-77.62392987031467,-141.34994331275277,81.0,12.0,48.0
285,13891.0,56.10442328472847,62.68069938457294,-140.39585695121752,82.0,12.0,50.0
286,13923.0,-62.651294444395,19.441301939925673,-109.48027520127395,118.0,12.0,52.0
287,13954.0,7.8781082711661075,-61.05904894762073,-102.7490662734234,127.0,12.0,54.0
288,13984.0,53.7394509166605,33.50649190347734,-105.69345696653477,123.0,12.0,56.0
289,14015.0,-49.22124767839519,32.53554208478786,-98.47204647044596,133.0,12.0,58.0
290,14047.0,-9.166036927268939,-58.711502279847515,-99.17336293060693,132.0,12.0,60.0
291,14077.0,48.897921273718445,13.761322648077156,-84.77827692745753,154.0,12.0,62.0
292,14108.0,-42.73598932585837,50.37519931037719,-110.25196329207583,117.0,12.0,64.0
293,14139.0,-24.15374430240058,-51.56574894880934,-95.03377600724585,138.0,12.0,66.0
294,14171.0,65.59582138799824,-0.5806316486983294,-109.48027520127395,118.0,12.0,68.0
295,14201.0,-25.4813267948082,57.00582911237234,-104.2118787358936,125.0,12.0,70.0
296,14232.0,-43.012293311081805,-48.9184709817839,-108.71338154216664,119.0,12.0,72.0
297,14263.0,59.37683014558517,-17.85058957093976,-103.47813414004084,126.0,12.0,74.0
298,14295.0,-8.241341080693287,59.7052741186845,-100.58977592090896,130.0,12.0,76.0
299,14325.0,-56.930806400317216,-36.200018496351966,-112.59594128272269,114.0,12.0,78.0
300,14356.0,42.92854698274124,-27.83318824334639,-85.38663454591921,153.0,12.0,80.0
301,14388.0,15.436370323369989,104.9628641148428,-177.06176424260966,47.0,12.0,82.0
302,14418.0,-43.192739914817324,-12.569354738083023,-75.07670166886237,171.0,12.0,84.0
303,14449.0,24.633533117632822,-28.52122890305842,-62.89677407305808,196.0,12.0,86.0
304,14480.0,13.392346751359103,29.26281151434054,-53.70970665792165,219.0,12.0,88.0
305,14512.0,-31.967010831675307,-0.0,-53.351264929034535,220.0,12.0,90.0
306,14542.0,12.293465221150946,-26.8617115658339,-49.302666895954715,232.0,12.0,92.0
307,14573.0,21.035416477154293,24.355252880336216,-53.70970665792165,219.0,12.0,94.0
308,14604.0,-28.36455546137892,8.254261255137365,-49.302666895954715,232.0,12.0,96.0
309,14636.0,3.1040117165767374,-21.10638402634511,-35.60434086857422,290.0,12.0,98.0
310,14666.0,16.486302338263155,10.689072625776975,-32.791929187278505,310.0,12.0,100.0
